data4TankF2_1	data4TankF2_2	data4TankF2_3	data4TankF2_4	data4TankF2_5	data4TankF2_6
2.99738954839669e-06	2.60098103119185e-06	0.499932066836231	0.29797587758866	0.500976890516492	0.564863489300016
2.21685084857046e-06	3.06374064855624e-06	0.499949389610261	0.297977307739688	0.497280524145592	0.567170082639093
1.43631214874422e-06	3.52650026592064e-06	0.499916614282793	0.297925180477187	0.490906965344626	0.569914675843431
2.30246070007197e-06	2.76930271996199e-06	0.499789780107974	0.297810707278031	0.48873157530249	0.563743399526762
3.16860925139971e-06	2.01210517400334e-06	0.499581877655201	0.297696491649762	0.48686337522845	0.557397970671172
3.04215446678219e-06	1.63663325436422e-06	0.49936110331916	0.297622288526119	0.484528726452331	0.550387865694919
2.91569968216468e-06	1.2611613347251e-06	0.499135461508604	0.297535289522925	0.484022524547566	0.540555425865048
3.42843578452738e-06	1.05302817537004e-06	0.4988754214461	0.297387492958157	0.48597710272596	0.530066320791578
3.94117188689008e-06	8.44895016014991e-07	0.498594656512258	0.297188678219915	0.488883262124445	0.51821127968207
3.10562349451394e-06	1.27083972521725e-06	0.498334495536709	0.296956317557318	0.487801687320993	0.509291111576088
2.27007510213779e-06	1.69678443441951e-06	0.498076571531417	0.296645108121256	0.485861337821139	0.501257491279192
2.23274838952784e-06	1.13874590675923e-06	0.497754281762194	0.296218121384773	0.483661698610177	0.489485123958009
2.19542167691789e-06	5.80707379098947e-07	0.497345401090657	0.295708424037719	0.479368707481005	0.477843225438547
2.27425171460022e-06	8e-08	0.496850588770651	0.295127850425813	0.475518657902664	0.463838887481752
2.35308175228255e-06	8e-08	0.496261242635732	0.294456255304152	0.471837194344694	0.448829946507677
2.67915901971873e-06	8e-08	0.495589208088389	0.29368375198814	0.469793012640989	0.433716220097175
3.00523628715492e-06	8e-08	0.49485116300875	0.292820880610153	0.468794166883176	0.418870607009341
1.96720776956371e-06	8e-08	0.494072901528292	0.291879489925273	0.462879775632646	0.40429240718837
9.29179251972489e-07	8e-08	0.493222549009978	0.290818109827021	0.455257410780451	0.389980951171686
2.01071040232703e-06	8e-08	0.49221144155837	0.289588985598484	0.452747161326397	0.375935601119843
3.09224155268157e-06	8e-08	0.49106006501873	0.288256322580392	0.450477414241459	0.362155750932324
2.24106009634653e-06	8e-08	0.489879039471407	0.286893748010447	0.444372186790432	0.34864082561874
1.38987864001149e-06	8e-08	0.488662958233258	0.285448540538292	0.438862016915314	0.335390280077846
1.45346250367009e-06	8e-08	0.487323398191078	0.28385781518384	0.433586479951666	0.322403597418611
1.51704636732869e-06	8e-08	0.48584405024447	0.282145968508536	0.426491334308632	0.309680286939273
1.67400722276323e-06	8e-08	0.484248540148629	0.280342222770748	0.420270689934369	0.297219881862466
1.83096807819777e-06	8e-08	0.482547635716528	0.278451785243387	0.414703325639067	0.285021936907704
2.30719024706485e-06	8e-08	0.480756021249756	0.276480515277611	0.411513532232276	0.27308602576699
2.78341241593193e-06	8e-08	0.47889950199889	0.274442055201574	0.40995852107529	0.261411738535338
3.55894621444622e-06	8e-08	0.477017693249217	0.27235203724596	0.412202977958647	0.249998679135533
4.3344800129605e-06	3.85201679352374e-07	0.475155671423527	0.270226139103137	0.417528179403845	0.240283979070237
5.49560378615296e-06	8e-08	0.473371792464669	0.26808160880348	0.428448630323211	0.228279371138618
6.65672755934542e-06	8e-08	0.471730475117999	0.265942103348289	0.444043214979232	0.217834178959576
5.87632629573952e-06	8e-08	0.470306815279817	0.263823671371886	0.455925412485904	0.207449633216491
5.09592503213362e-06	8e-08	0.469090718837448	0.261674805930816	0.468451393353661	0.197324472366069
4.75758241625414e-06	8e-08	0.46798806805637	0.259433820435804	0.478999074716598	0.187458331501343
4.41923980037465e-06	8e-08	0.466960537107424	0.25710890750381	0.486615231309077	0.177850842835844
4.73779530641066e-06	8e-08	0.465990722550463	0.254710396407042	0.495573954777003	0.168501633472828
5.05635081244667e-06	8e-08	0.465079912298604	0.252257494990275	0.504377478876165	0.15941032318407
4.6635332615121e-06	8e-08	0.46425638949622	0.249773682688438	0.511211165948453	0.15057652217858
4.27071571057754e-06	8e-08	0.463508489086594	0.247239132803534	0.517721134920731	0.141999828838797
4.78434257809891e-06	4.27732328988268e-07	0.462796191759916	0.244629463820233	0.526539953007356	0.135299121174495
